name,lon_lat,coor_type,category
جبل المضباع,"[[44.268315, 17.593532]]",POINT,جبال
جبل المنبطح,"[[45.858736, 17.767553]]",POINT,جبال
جبل الميعان,"[[44.285352, 17.498131]]",POINT,جبال
جبل النبطاء,"[[44.614019, 19.201419]]",POINT,جبال
جبل النثاق,"[[44.592133, 17.859821]]",POINT,جبال
جبل الهيله - العريق,"[[44.006939, 18.185828]]",POINT,جبال
جبل الوطي,"[[44.347064, 17.484291]]",POINT,جبال
جبل ام شرابيب,"[[44.227781, 17.59954]]",POINT,جبال
جبل ام للحي,"[[44.338374, 17.61014]]",POINT,جبال
جبل بريمة,"[[44.261942, 17.44704]]",POINT,جبال
جبل تصلال,"[[44.493105, 17.614861]]",POINT,جبال
جبل تكتمه,"[[44.224648, 17.457662]]",POINT,جبال
جبل خشب,"[[44.683843, 19.109323]]",POINT,جبال
جبل زلوم,"[[44.254367, 17.513452]]",POINT,جبال
جبل ساره,"[[44.131672, 18.784454]]",POINT,جبال
جبل سوداء,"[[44.175339, 17.450366]]",POINT,جبال
جبل صحيفات,"[[44.381247, 17.526669]]",POINT,جبال
جبل ضبع,"[[44.5263, 17.735024]]",POINT,جبال
جبل ضحي,"[[43.93424, 17.62104]]",POINT,جبال
جبل عان شيبان,"[[44.287133, 17.564714]]",POINT,جبال
جبل عشيرة,"[[44.292412, 18.103065]]",POINT,جبال
جبل كرابل,"[[44.319041, 17.478604]]",POINT,جبال
جبل كفار,"[[43.826909, 17.668934]]",POINT,جبال
جبل لنصاب,"[[44.452658, 17.5492]]",POINT,جبال
جبل محيضر,"[[44.277563, 17.67992]]",POINT,جبال
جبل مسعود,"[[44.259818, 17.623315]]",POINT,جبال
جبل مناك,"[[44.405279, 17.47515]]",POINT,جبال
جبل مي,"[[44.244754, 17.463241]]",POINT,جبال
جبل هويمل,"[[46.004992, 17.559843]]",POINT,جبال
جبل واسط,"[[44.351892, 19.190047]]",POINT,جبال
جبل والة,"[[44.267006, 17.962732]]",POINT,جبال
جبل وريك,"[[44.445705, 18.094053]]",POINT,جبال
جبل المذراع,"[[43.736846, 17.5118404]]",POINT,جبال
