city,neighborhood_aname,neighborhood_ename,type,subtype_name,point_aname,point_ename,postal_code,building_no,additional_no,short_address,street_aname,street_ename,CentroidX,CentroidY
الرياض,الملقا,AL-MALQA,Restaurant,Other,باسكن روبنز,baskin robbins,13521,4000,6593,RRMD4000,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6240981408385,24.7913753764959
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تموينات,Grocery Store,13521,4027,7107,RRMC4027,العمرة,Al Umrah,46.6244621000001,24.7961234
الرياض,الملقا,AL-MALQA,Hotel,Hotel Suite,سما نجد,sama naged,13521,4039,7538,RRMD4039,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6246721497399,24.8000487900444
الرياض,الملقا,AL-MALQA,Auto-Service,Gas Station,محطة نفط,oil gas station,13521,4046,6627,RRMA4046,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6247465439626,24.7917590645831
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تموينات,Grocery Store,13521,4046,6627,RRMA4046,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6245144000001,24.7917949
الرياض,الملقا,AL-MALQA,Restaurant,Local Restaurant,فوال,voile,13521,4054,7612,RRMC4054,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6248492609541,24.8006680051136
الرياض,الملقا,AL-MALQA,Hotel,Hotel,فندق دولف,dualaf hotel,13521,4075,7752,RRMD4075,وادي نوار,Wadi Nawar,46.6251658482408,24.802090704678
الرياض,الملقا,AL-MALQA,Financial Service,Money Transfer Center,إنجاز لتحويل الاموال,enjaz money transfer,,,,,,,46.6251240239067,24.7918750034153
الرياض,الملقا,AL-MALQA,Hotel,Hotel,تالا هاوس,tala house,13521,4115,7151,RRMA4115,العمرة,Al Umrah,46.6253311414657,24.7965469058729
الرياض,الملقا,AL-MALQA,Hotel,Hotel Suite,القوائم الذهبية,gold lists,13521,4118,7639,RRMA4118,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6254774386597,24.8009202279802
الرياض,الملقا,AL-MALQA,Financial Service,Money Transfer Center,كويك باي لتحويل الاموال,quick pay money transfer,13521,4120,6651,RRMB4120,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6253712304286,24.792001055779
الرياض,الملقا,AL-MALQA,Hotel,Hotel,فندق ذواري,dhawari hotel,13521,4129,7779,RRMB4129,وادي نوار,Wadi Nawar,46.6254394862565,24.8022334723383
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,مجمع جوالات,majmae jawalat,13521,4146,6664,RRMB4146,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6256953540389,24.7921189580603
الرياض,الملقا,AL-MALQA,Auto-Service,Other,اسيج للتامين,acig insurance,13521,4159,7588,RRMB4159,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6258327000001,24.8005162
الرياض,الملقا,AL-MALQA,Hotel,Hotel,فندق دولف,dolph hotel,13521,4184,7243,RRMB4184,العمرة,Al Umrah,46.6261353992859,24.7973701993811
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,قصر اليمامة للواحدات السكينة,al yamamah palace housing units,13521,4233,7281,RRME4233,العمرة,Al Umrah,46.626620809331,24.7976557347018
الرياض,الملقا,AL-MALQA,Financial Service,ATM Machine,صراف الإنماء,alinma atm,13521,4246,6714,RRMB4246,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6265952130238,24.7924030238356
الرياض,الملقا,AL-MALQA,Religious,Mosque,مسجد,mosque,13521,4251,6804,RRMA4251,الحتار,Al Hatar,46.6266620100726,24.793386021046
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تموينات,Grocery Store,13521,4285,7229,RRMC4285,العمرة,Al Umrah,46.6270987,24.7973728000001
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,مرسال ال,mersal al malqa,13521,4307,7239,RRMD4307,العمرة,Al Umrah,46.6273203708668,24.797336886927
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,منزل ارام لشقق,arram hotel,13521,4320,7310,RRMB4320,العمرة,Al Umrah,46.6274115835387,24.7979095197638
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,دولفا سبا,dolva spa,13521,4329,7250,RRMA4329,العمرة,Al Umrah,46.6274203082289,24.7974415832114
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,مينا للوحدات السكنية,mina,13521,4329,7250,RRMA4329,العمرة,Al Umrah,46.6275107277472,24.7974986902753
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,القنديل الذهبي,alqandil aldhdhahabi,13521,4338,6757,RRMA4338,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6275245646871,24.792925000476
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,مطعم ركن الوليمة,rukn alwalima restaurant,13521,4404,6787,RRMA4404,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6281610705063,24.7932670479957
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,توم توم,tawm tawm,13521,4430,6802,RRMA4430,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6285031180258,24.793305714237
الرياض,الملقا,AL-MALQA,Pharmacy,Pharmacy,صيدلية السيف,Seif Pharmacy,13521,4458,6814,RRMB4458,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6287402000001,24.7934336
الرياض,الملقا,AL-MALQA,Financial Service,ATM Machine,صراف الراجحي,al rajhi atm,13521,4498,6836,RRMA4498,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6290771629937,24.79352581438
الرياض,الملقا,AL-MALQA,Restaurant,Other,حلويات اوبرا,opera pastry,13521,4560,6861,RRMB4560,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6298385905154,24.793826221332
الرياض,الملقا,AL-MALQA,Pharmacy,Phamacy with Home Delevery,صيدلية النهدي(توصيل),Nahdi Pharmacy(Delivery),13521,6165,2844,RRMB6165,الامير محمد ابن سعد ابن عبدالعزيز,Prince Muhammad Ibn Saad Ibn Abdulaziz,46.6121566,24.7881528000002
الرياض,الملقا,AL-MALQA,Religious,Friday Mosque,جامع الأميرة زهوة,al amirat zahuww friday mosqu,13521,6165,2844,RRMB6165,الامير محمد ابن سعد ابن عبدالعزيز,Prince Muhammad Ibn Saad Ibn Abdulaziz,46.6123994018296,24.7882798464433
الرياض,الملقا,AL-MALQA,Religious,Mosque,مسجد عبد الله بن سعد المدبل,abdullah bin saad almudbl mosqu,13521,6720,4074,RRMC6720,الحلة,Al Hallah,46.6249309521907,24.7926186448715
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تموينات خط النهاية,khatt alnnihaya,13521,6753,4199,RRMB6753,عبدالله الخرجي,Abdullah Al Kharji,46.626183143545,24.7929725896962
الرياض,الملقا,AL-MALQA,Auto-Service,Car Rental,شركة حسن لتاجير السيارات,rent a car hassan,13521,6848,4520,RRMA6848,السارة,Al Sarah,46.6293954159031,24.7936834536717
