branch_national_short_address,building_number,street,district,city,postal_code,latitude,longitude
RMDA7167,7167.0,العزيزية الفرعي,حي الدار البيضاء,الرياض,14517.0,24.56612734,46.79045274
RNSA8155,8155.0,الطريق الدائري الثاني,المدينة الصناعية الثانية,الرياض,14331.0,24.56042380,46.86554668
RNSA9777,9777.0,محمد أبي نقطة,المدينة الصناعية الثانية,الرياض,14334.0,24.56261465,46.89609915
RKWC8024,8024.0,الأمير عبدالرحمن بن سعود بن عبدالعزيز,حي طويق,الرياض,14928.0,24.57233429,46.55543022
RISA2237,2237.0,المدينه المنوره,حي السويدي الغربي,الرياض,12992.0,24.57777730,46.60735867
RISB7399,7399.0,عبدالوهاب بن يوسف,حي السويدي الغربي,الرياض,12993.0,24.57305411,46.63491906
RLFB2569,2569.0,ديراب الفرعي,حي الشفا,الرياض,14712.0,24.57824695,46.70157290
RIUC7406,7406.0,حمزة بن عبدالمطلب,حي العريجاء الغربي,الرياض,12976.0,24.58926481,46.62317487
RBBA6529,6529.0,حمزة بن عبدالمطلب,حي ظهرة البديعة,الرياض,12982.0,24.58524051,46.62716634
RMAD3485,3485.0,النصر,حي العزيزية,الرياض,14514.0,24.58697093,46.76131945
RMAC8282,8282.0,العزيزية الفرعي,حي العزيزية,الرياض,14514.0,24.58170646,46.78086887
RIUC4776,4776.0,المدينه المنوره,حي العريجاء الوسطى,الرياض,12768.0,24.60869563,46.65579270
RBSB5416,5416.0,السويدي العام,حي السويدي,الرياض,12786.0,24.59365825,46.67743664
RCMA7835,7835.0,البطحاء,حي المنصورة,الرياض,12684.0,24.60435038,46.73279043
RIUB7955,7955.0,يزيد بن ابي سفيان,حي العريجاء الوسطى,الرياض,12768.0,24.61815082,46.65285662
RILA5192,5192.0,الأمير أحمد بن عبدالعزيز,حي لبن,الرياض,12935.0,24.63416656,46.61852385
RDLA8988,8988.0,طيبة,حي ظهرة لبن,الرياض,13782.0,24.64461911,46.55388533
RDLB3243,3243.0,الطائف,حي ظهرة لبن,الرياض,13782.0,24.64836040,46.55656122
RBRA8581,8581.0,خريم بن فاتك,حي الرفيعة,الرياض,12752.0,24.64873837,46.65190321
RDLE3332,3332.0,بركة,حي ظهرة لبن,الرياض,12555.0,24.65412771,46.56971339
RBFA6545,6545.0,وادي الليسن,حي الشرفية,الرياض,12724.0,24.65415876,46.66921705
RBJB8377,8377.0,الأمير سعود بن فيصل بن عبدالعزيز,حي النموذجية,الرياض,12734.0,24.65510021,46.68822595
RCRA3536,3536.0,الملك فهد,حي المربع,الرياض,12613.0,24.65157717,46.70364832
RCRA3536,3536.0,الملك فهد,حي المربع,الرياض,12613.0,24.65157717,46.70364832
RCRA7289,7289.0,الملك فهد الفرعي,حي المربع,الرياض,12612.0,24.66193881,46.70123686
REMA6649,6649.0,الملك عبدالعزيز ابن عبدالرحمن سعود,حي الملز,الرياض,12629.0,24.65913899,46.71830345
RDMA4207,4207.0,السيل الكبير,حي المهدية,الرياض,13754.0,24.66627160,46.53457278
RIHA2523,2523.0,طريق مكة المكرمة,حي الهدا,الرياض,12913.0,24.66624839,46.62184876
RBMA2618,2618.0,الزهراوي,حي المعذر,الرياض,12713.0,24.66943978,46.67517657
RBMB6848,6848.0,الجوهرى,حي المعذر,الرياض,12714.0,24.66433804,46.67647528
RESA7705,7705.0,فاطمة الزهراء,حي الصفا,الرياض,12851.0,24.66953297,46.75222897
RQFA6173,6173.0,هارون الرشيد,حي الفيحاء,الرياض,14254.0,24.66948306,46.80606371
RYSA6633,6633.0,عبدالله ابن حذافة السهمي,حي السفارات,الرياض,12511.0,24.67331465,46.62325229
RGMA3356,3356.0,طريق مكة المكرمة,حي المعذر الشمالي,الرياض,12312.0,24.67620138,46.67661126
RBMA6878,6878.0,التخصصي,حي المعذر,الرياض,12714.0,24.66445273,46.68238577
REMA6895,6895.0,الملك عبدالعزيز ابن عبدالرحمن سعود,حي الملز,الرياض,12629.0,24.66138084,46.71845386
RCRB7501,7501.0,أسماء بنت مالك,حي المربع,الرياض,12624.0,24.67831776,46.70690171
REMA7647,7647.0,طلحة بن مالك,حي الملز,الرياض,12831.0,24.67568972,46.72761709
RQJA2991,2991.0,الامير سعد بن عبدالرحمن الفرعي,حي الجزيرة,الرياض,14251.0,24.68226995,46.78747049
RYIA2742,2742.0,الأمير مشعل بن عبد العزيز,عرقة,الرياض,12544.0,24.68527868,46.57299688
RYSA7320,7320.0,عمرو بن أمية الضمري,حي السفارات,الرياض,12512.0,24.67950420,46.62315105
RBMA2571,2571.0,مكة المكرمة,حي المعذر,الرياض,12713.0,24.67210667,46.67395842
RBMA4539,4539.0,مكة المكرمة الفرعي,حي المعذر,الرياض,12721.0,24.67416234,46.66829226
RHOA7428,7428.0,الملك فهد الفرعي,حي العليا,الرياض,12311.0,24.68761649,46.68359626
RHOC2900,2900.0,العليا الفرعي,حي العليا,الرياض,12611.0,24.67198761,46.69809064
RHSA3365,3365.0,أبي بكر الرازي,حي السليمانية,الرياض,12231.0,24.69005235,46.71241042
RERA4152,4152.0,عمر بن عبدالعزيز الفرعي,حي الربوة,الرياض,12815.0,24.68505183,46.74432483
REMB7801,7801.0,الاحساء,حي الملز,الرياض,12832.0,24.67696935,46.73721868
RQFC7637,7637.0, الشافعي,حي الفيحاء,الرياض,14253.0,24.68254737,46.81472791
RGUA2668,2668.0,الامير نواف بن عبدالعزيز,حي ام الحمام الغربي,الرياض,12329.0,24.68743444,46.63619524
RHOB2643,2643.0,الأمير محمد بن عبدالعزيز,حي العليا,الرياض,12222.0,24.69864133,46.69019607
RERB3165,3165.0,عمر بن عبدالعزيز الفرعي,حي الربوة,الرياض,12835.0,24.69132648,46.76591877
RERC3582,3582.0,عمر بن عبدالعزيز الفرعي,حي الربوة,الرياض,12823.0,24.69093771,46.76061744
RERA4444,4444.0,عمر بن عبدالعزيز الفرعي,حي الربوة,الرياض,12824.0,24.69383758,46.76913643
RQRA6913,6913.0,الدائري الشرقي الفرعي,حي الريان,الرياض,14213.0,24.70291072,46.77108742
RQWA4217,4217.0,الزبير ابن العوام ابن خويلد ابن اسد,حي الروابي,الرياض,14216.0,24.69695175,46.79541491
RQYB8112,8112.0,جاكرتا,حي السلي,الرياض,14267.0,24.68045799,46.85558618
RYIA4308,4308.0,أبي العباس الحربي,عرقة,الرياض,12532.0,24.69243380,46.60527786
RGDB3075,3075.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي الرائد,الرياض,12355.0,24.71354579,46.63384434
RGUA4207,4207.0,العروبة الفرعي,حي ام الحمام الغربي,الرياض,12326.0,24.70251152,46.65161110
RGRB3662,3662.0,العروبة الفرعي,حي الرحمانية,الرياض,12342.0,24.70855454,46.66225986
RHOA2794,2794.0,موسى بن نصير,حي العليا,الرياض,12244.0,24.70479714,46.68296473
RHOB2957,2957.0,الامير سلطان ابن عبدالعزيز,حي العليا,الرياض,12221.0,24.69171330,46.69326361
RHSC3634,3634.0,العيينة,حي السليمانية,الرياض,12223.0,24.70073273,46.69994379
RGDA7885,7885.0,عشيرة سدير,حي الرائد,الرياض,12355.0,24.71114977,46.63151536
RGSA4570,4570.0,الأمير تركي بن عبدالعزيز الأول,جامعة الملك سعود,الرياض,12371.0,24.72452895,46.63627078
RHWA7375,7375.0,الامير احمد بن عبدالعزيز,حي الورود,الرياض,12254.0,24.72584243,46.68150139
RQRA3355,3355.0,خريص الفرعي,حي الريان,الرياض,14212.0,24.72218852,46.77531919
RQRA5256,5256.0, احمد ابن حنبل,حي الريان,الرياض,14212.0,24.71265265,46.79407753
RQNA2071,2071.0, احمد ابن حنبل,حي النسيم الغربي,الرياض,14233.0,24.72519793,46.81607838
RQSA8136,8136.0,عبدالرحمن بن عوف,حي السلام,الرياض,14225.0,24.71199910,46.81856232
RDFA8475,8475.0,مصعب بن عمير,حي الفيصلية,الدرعية,13712.0,24.74718252,46.57052148
RGNA7903,7903.0,سالم بن معقل,حي النخيل,الرياض,12392.0,24.74095498,46.60796322
RGSA9390,9390.0,الأمير تركي بن عبدالعزيز الأول,جامعة الملك سعود,الرياض,12373.0,24.74072498,46.62253013
RGSA4366,4366.0,الأمير تركي بن عبدالعزيز الأول,جامعة الملك سعود,الرياض,12371.0,24.72814124,46.63432927
RHDB7467,7467.0,طريق الملك عبدالعزيز الفرعي,حي الملك سلمان,الرياض,12434.0,24.73313438,46.68769161
RHDB7467,7467.0,طريق الملك عبدالعزيز الفرعي,حي الملك سلمان,الرياض,12434.0,24.73313438,46.68769161
RHDB7837,,,,,,Error,Error
RHDA3741,3741.0,رفحاء,حي الملك سلمان,الرياض,12433.0,24.73266370,46.70246340
RFRA2251,2251.0,عبدالرحمن الغافقي,حي الروضة,الرياض,13213.0,24.74126966,46.75132111
RFRB7610,7610.0,المقريزي,حي الروضة,الرياض,13211.0,24.72878987,46.78292357
RQNC2701,2701.0,أحمد البديري,حي النسيم الغربي,الرياض,14231.0,24.73997538,46.81071406
RGNA3376,3376.0,الجموح,حي النخيل,الرياض,12394.0,24.74155692,46.60404714
RGNA5045,5045.0,الأمير تركي بن عبدالعزيز الأول,حي النخيل,الرياض,12391.0,24.74488667,46.62052924
RGNB7300,7300.0,عبدالرحمن الرافعي,حي النخيل,الرياض,12381.0,24.74671975,46.65170874
RHFA3494,3494.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي الملك فهد,الرياض,12271.0,24.73220122,46.67313449
RHMA7164,7164.0,ابي بكر الصديق الفرعي,حي المرسلات,الرياض,12462.0,24.74700968,46.70123607
RHHA2349,2349.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي الملك سلمان,الرياض,12444.0,24.74513870,46.70659043
RHRA3144,3144.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي المغرزات,الرياض,12481.0,24.75361302,46.72386422
RHKB7177,7177.0,الدائري الشرقي,حي الملك عبدالله,الرياض,12451.0,24.74105292,46.74535345
RFRA2581,2581.0,أبي الدرداء,حي الروضة,الرياض,13213.0,24.73150341,46.75449323
RFRA8114,8114.0,خالد بن الوليد,حي الروضة,الرياض,13211.0,24.73340130,46.78411430
RSRA2990,2990.0,السلامه,حي الرماية,الرياض,14611.0,24.74645473,46.85804179
RSRA2990,2990.0,السلامه,حي الرماية,الرياض,14611.0,24.74645473,46.85804179
